0,1
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion week t-shirts\\487aba3834ba3c26ee8d21fef2f17865.jpg,"[-0.03434921 -0.02515067 -0.02854749 ... -0.02420213 -0.01545829
 -0.02500676]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion week t-shirts\\70d841b0af914e89bcbd50aab2aaa1ce.jpg,"[-0.03186084 -0.02645829 -0.02833392 ... -0.01884302 -0.01280607
 -0.01837588]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\fashion week t-shirts\\d096dd5b37f7bb5beccd0e0120b7277f--fashion-designer-fashion-details.jpg,"[-0.03576832 -0.02659361 -0.02716602 ... -0.0213966  -0.01736441
 -0.02548226]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\korean fashion t-shirts\\15b0ea90660806d546293a8c4d3e8e37.jpg,"[-0.03970384 -0.02979034 -0.02614803 ... -0.01848385 -0.00601605
 -0.0068483 ]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\korean fashion t-shirts\\b11a90d8092d0b131e48155693726707.jpg,"[-0.03788875 -0.02836772 -0.02642245 ... -0.0226198  -0.01232065
 -0.01405005]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\london fashion week t-shirts\\829950c1ac36031fad3a25be9864846a.jpg,"[-0.04065889 -0.02136277 -0.02489651 ... -0.01387159  0.00165768
 -0.00113182]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\london fashion week t-shirts\\9cfe1bf868c97bfbe53352a340fafb93--christopher-kane-london-fashion-weeks.jpg,"[-0.00585219 -0.00861043 -0.01751565 ... -0.01898469  0.01695622
 -0.01345196]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\london fashion week t-shirts\\cb53ab394fc0d0df6d456a3215df7f39.jpg,"[-0.03808411 -0.02743246 -0.02140335 ... -0.01440629 -0.01613833
 -0.01082995]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\men fashion t-shirts\\d87776734548e3aeb5efb1dc618cae9f.jpg,"[-0.02737916 -0.01921221 -0.02335853 ... -0.02155362  0.01246709
 -0.0242517 ]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\men fashion t-shirts\\e14b130a07704525a5770855dbd183b3.jpg,"[-0.03482464 -0.0277615  -0.0288828  ... -0.02125296 -0.01737334
 -0.01989945]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\mens fashion t-shirts\\487aba3834ba3c26ee8d21fef2f17865.jpg,"[-0.03434921 -0.02515067 -0.02854749 ... -0.02420213 -0.01545829
 -0.02500676]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\mens fashion t-shirts\\c5fdf2f0f8c50d292c799f6bc5e53386.jpg,"[-0.0207066  -0.01665371 -0.03512907 ... -0.03139235 -0.00364257
 -0.01797147]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\mens fashion t-shirts\\d87776734548e3aeb5efb1dc618cae9f.jpg,"[-0.02737916 -0.01921221 -0.02335853 ... -0.02155362  0.01246709
 -0.0242517 ]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\new fashion t-shirts\\42d43116dd2b43fc894357ac874e3100.jpg,"[-0.0355477  -0.02566987 -0.02603402 ... -0.02009369 -0.00989123
 -0.00764657]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\new fashion t-shirts\\60d2ccc5deddd4a712bf54f3dfcde321.jpg,"[ 0.00499837 -0.00922632 -0.0315357  ... -0.03217227 -0.00372057
 -0.01466672]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\new fashion t-shirts\\e14b130a07704525a5770855dbd183b3.jpg,"[-0.03482464 -0.0277615  -0.0288828  ... -0.02125296 -0.01737334
 -0.01989945]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\new york fashion week t-shirts\\0c5ec9fbf3475b4d15843bcb7def44c3--carolina-herrera-new-york-fashion.jpg,"[-0.01988126 -0.02553302 -0.03153186 ... -0.02736477 -0.00395142
 -0.02372103]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\new york fashion week t-shirts\\d096dd5b37f7bb5beccd0e0120b7277f--fashion-designer-fashion-details.jpg,"[-0.03576832 -0.02659361 -0.02716602 ... -0.0213966  -0.01736441
 -0.02548226]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\new york fashion week t-shirts\\e997eab2fafdb7134d378bcebd4594c4.jpg,"[-0.03796474 -0.02643794 -0.0251003  ... -0.01685163 -0.0166859
 -0.01858333]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\tshirt\\2a232712b01fa5634252d6bdeb780d46.jpg,"[-0.02567379 -0.01903925 -0.03253699 ... -0.02920755 -0.00706079
 -0.02820878]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\tshirt\\78df8e0174dea767053433a9b47dff56.jpg,"[-0.02669334 -0.02223219 -0.03368422 ... -0.03063789 -0.01152549
 -0.02646687]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\tshirt\\a33909e71a9469d24b0e0a976b910858.jpg,"[-0.03126385 -0.02702796 -0.03060151 ... -0.02273691 -0.0151144
 -0.01831421]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\tshirt\\ac98a5ba865ea1b9ef3aa2a3fba22106.jpg,"[-0.01210299 -0.03287738 -0.03423505 ... -0.02582447 -0.0152089
  0.01005588]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\tshirt\\d48b60c98c9be5845ff770a9bb98c77f.jpg,"[-0.03634408 -0.02612707 -0.02913453 ... -0.01965889 -0.01467404
 -0.01774111]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\tshirt\\e673fb124474470e24525bf3fc0ec23a.jpg,"[-0.03368157 -0.02545501 -0.03007826 ... -0.02367769 -0.01300573
 -0.01660336]"
C:\Users\yash chaudhary\Desktop\flipkart\static\images\women fashion t-shirts\\75ee5463c6459a2ff7186d16ab98379a.jpg,"[-0.03838026 -0.02756136 -0.02619782 ... -0.01636073 -0.0119265
 -0.01357118]"
